REFERENCIA;REFERENCIAS ALTERNAS;NOMBRE;DESCRIPCION;MARCA;LINEA;SUB-LINEA;CLASIFICACION;INVENTARIO;PRECIO LISTA
2233M1001/92200;#N/D;SATELITE ESCUALIZACION 185-160;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;1088,00;#N/D
SPL250/801037MER;0;CRUCETA CARDAN KENWORTH/INTERNATIONAL 200 PRECISION 3947698 LONGITUD TOTAL 17 CM DADO A DADO Y DIAMETRO DEL DADO 60 MM;CRUCETA CARDAN KENWORTH/INTERNATIONAL 200 PRECISION 3947698 LONGITUD TOTAL 17 CM DADO A DADO Y DIAMETRO DEL DADO 60 MM;MERITOR;MERITOR;MERITOR;DIFERENCIAL;413,00;$ 239.559,00
107342-22;107342-12 (3 TACOS) (109504-12 GRADUACION AUTOMATICA 3 TACOS) 109508-11Y(4 TACOS);KIT EMBRAGUE TIPO HI 14X2 PRENSA 6 RESORTES DISCOS 8 RESORTES 3 TACOS;KIT EMBRAGUE TIPO HI 14X2 PRENSA 6 RESORTES DISCOS 8 RESORTES 3 TACOS;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;31,00;$ 3.378.305,00
4302074/21343;#N/D;RODILLO TORRE MONO 14715;#N/D;FULLER;FULLER;FULLER;TRANSMISION;1755,00;#N/D
4089431;0;BOMBA DE ENGRANAJE COMBUSTIBLE ACPM ISX (BOMBA CON EGR CM870 REF 4088847);BOMBA DE ENGRANAJE COMBUSTIBLE ACPM ISX (BOMBA CON EGR CM870 REF 4088847);CUMMINS;CUMMINS;CUMMINS;MOTOR;28,00;$ 3.185.061,00
VAD25 03 10;WAB9111539202;CULATA COMPRESOR CUMMINS ISM ISC ISL WABCO 9111539202 (NOTA: ANTES DE INSTALAR SE DEBE VERIFICAR TORQUE DE TORNILLERIA);CULATA COMPRESOR CUMMINS ISM ISC ISL WABCO 9111539202 (NOTA: ANTES DE INSTALAR SE DEBE VERIFICAR TORQUE DE TORNILLERIA);VADEN;VADEN;VADEN;AIRE;301,00;$ 358.700,00
1229K3001;0;ARANDELA SATELITE ESCUALIZACION 46-160;ARANDELA SATELITE ESCUALIZACION 46-160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;18332,00;$ 5.300,00
6462545/KISX408998100;0;ACTUADORES Y SOLENOIDE CUMMINS ISX EL KIT CONTIENE (ACTUADOR DOSIFICACION 4089980 X1 UND + ACTUADOR TIEMPO 4089981 X1 UND + VALVULA SOLENOIDE 4024808 + LAMINA SOLENOIDE 129839 X1 UND + RESORTE KIT ACTUADORES 129768 X1 UND + DISCO VALVULA 196057 X1 UND + LAMINILLA DE ACTUADORES X2 UNDS + 6 TORNILLOS + 2 ORINGS) (USA 4X MOTOR 2 ACTUADORES TIEMPO + 2 ACTUADORES DOSIFICACIÓN);ACTUADORES Y SOLENOIDE CUMMINS ISX EL KIT CONTIENE (ACTUADOR DOSIFICACION 4089980 X1 UND + ACTUADOR TIEMPO 4089981 X1 UND + VALVULA SOLENOIDE 4024808 + LAMINA SOLENOIDE 129839 X1 UND + RESORTE KIT ACTUADORES 129768 X1 UND + DISCO VALVULA 196057 X1 UND + LAMINILLA DE ACTUADORES X2 UNDS + 6 TORNILLOS + 2 ORINGS) (USA 4X MOTOR 2 ACTUADORES TIEMPO + 2 ACTUADORES DOSIFICACIÓN);CUMMINS;CUMMINS;CUMMINS;MOTOR;24,00;$ 3.343.580,00
3892T4934/S5947/58400;3892S5947 3892T4934/S5947/58400WAP 3892T4934/S5947/58400TAS;PIÑON PIÑA 46160;PIÑON PIÑA 46160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;131,00;$ 809.800,00
5566510;0;BALINERA CENTRAL 16918;BALINERA CENTRAL 16918;WAP;WAP;WAP;TRANSMISION;254,00;$ 413.721,00
SET419MER/802619;#N/D;SET RODAMIENTO (H715343/H715311);#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;658,00;#N/D
9501/9471 2TOR/SP559501KP;0;BOLSA DE SUSPENSION (9471 2TOR) PARA AD246 (PETROLERA);BOLSA DE SUSPENSION (9471 2TOR) PARA AD246 (PETROLERA);SAMPA;SAMPA;SAMPA;SUSPENSION;284,00;$ 326.100,00
WABA02-14041-000/11060/11030;S9650011060 S9650011030 VAD306 10 0001;PEDAL CLUTCH M2-106 M2-112 COLUMBIA;PEDAL CLUTCH M2-106 M2-112 COLUMBIA;WABCO;WABCO;WABCO;AIRE;48,00;$ 1.900.807,00
131008K;134323;"RETEN CON TUERCA EJE DIV Y SPEED (JGOX3) 134323 DIAMETRO INTERNO 3-13/16""";"RETEN CON TUERCA EJE DIV Y SPEED (JGOX3) 134323 DIAMETRO INTERNO 3-13/16""";SPICER;DANA;DANA;DIFERENCIAL;509,00;$ 158.700,00
4301851;0;RODILLO TORRE MONO MARCA KOYO;RODILLO TORRE MONO MARCA KOYO;WAP;WAP;WAP;TRANSMISION;1085,00;$ 124.186,00
4301840B;#N/D;PLATO SINCRONIZADOR 18 TODAS;#N/D;FULLER;FULLER;FULLER;TRANSMISION;293,00;#N/D
SPL170X-1X/DANA;#N/D;CRUCETA CARDAN KENWORTH/INTERNATIONAL (DIAMETRO DADO 5,5CM - DADO A DADO 16.4CM) SPICER BRASIL;#N/D;SPICER;DANA;DANA;DIFERENCIAL;176,00;#N/D
A40024-5;0;CORONA Y SPEED RS 46160- TRAS 9X44 (SP41285K);CORONA Y SPEED RS 46160- TRAS 9X44 (SP41285K);MERITOR;MERITOR;MERITOR;DIFERENCIAL;26,00;$ 3.239.639,00
3104445;SB1953E-4SBI/3104445;ASIENTO ADMISION ISX - X15 (USA 12 X MOTOR);ASIENTO ADMISION ISX - X15 (USA 12 X MOTOR);CUMMINS;CUMMINS;CUMMINS;MOTOR;931,00;$ 83.359,00
KISX380029800/5579050;0;CASQUETERIA DE BIELA CORTE NORMAL STD (KIT) CONTIENE (CASQUETES BIELA CORTE NORMAL STD 4089405 X6 PAREJAS) + (CASQUETES DE BANCADA STD X1 JGO 5406110/3800298) + (ORING TUBO SUCCION ACEITE 3678756) CUMMINS ISX;CASQUETERIA DE BIELA CORTE NORMAL STD (KIT) CONTIENE (CASQUETES BIELA CORTE NORMAL STD 4089405 X6 PAREJAS) + (CASQUETES DE BANCADA STD X1 JGO 5406110/3800298) + (ORING TUBO SUCCION ACEITE 3678756) CUMMINS ISX;CUMMINS;CUMMINS;CUMMINS;MOTOR;58,00;$ 1.527.084,00
HM813843/10 MER/802613;#N/D;SET RODILLO Y PISTA (HM813843/HM813810) EXTERNO SPEED TRASERO Y EJE DIVISOR SERIE 160;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;822,00;#N/D
A3303P1030;0;BOMBA DIVISOR 145-160;BOMBA DIVISOR 145-160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;92,00;$ 845.700,00
SET401MER/802601;#N/D;SET RODILLO Y PISTA (580/572) EXTERNO PARA RUEDA TRASERA DE KENWORTH, FREIGHTLINER, INTERNATIONAL, BRIGADIER Y SUPERBRIGADIER COMPAÑERO (SET403) Y LATERAL MR155;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;885,00;#N/D
K3233;0;KIT RODAMIENTO 16915;KIT RODAMIENTO 16915;FULLER;FULLER;FULLER;TRANSMISION;44,00;$ 1.905.058,00
16118B/4306648;#N/D;PIÑA CORREDIZO TODAS;#N/D;FULLER;FULLER;FULLER;TRANSMISION;840,00;#N/D
8050/8058/954099;#N/D;BOLSA SUSPENSION TRAILER INCA HASTA 2001;#N/D;FIRESTONE;FIRESTONE;FIRESTONE;SUSPENSION;158,00;#N/D
9158/0734;1R14-030/9158GY 1T19L-11 90557005 90557069;BOLSA TRAILER PARA SUSPENSION NEWAY AR 125L;BOLSA TRAILER PARA SUSPENSION NEWAY AR 125L;FIRESTONE;FIRESTONE;FIRESTONE;SUSPENSION;140,00;$ 616.357,00
3278W335/43067;#N/D;CRUCETA ESCUALIZACION 46-160;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;504,00;#N/D
994346;0;"KIT REPARACION MENOR DRIVE MASTER 8""";"KIT REPARACION MENOR DRIVE MASTER 8""";HORTON;HORTON;HORTON;AIRE;173,00;$ 403.105,00
KIT4426TMK;KIT4426MER;KIT RODAMIENTO TRASERO 46-160 CON RETENDOR A11205A2731 (USA);KIT RODAMIENTO TRASERO 46-160 CON RETENDOR A11205A2731 (USA);TIMKEN;TIMKEN;TIMKEN;RODAMIENTO;53,00;$ 1.527.145,00
22025B/4305904;#N/D;PIÑON EJE DE TOMA - CON PESTAÑA RTO 16915 54T;#N/D;FULLER;FULLER;FULLER;TRANSMISION;208,00;#N/D
4303422B;#N/D;PIÑON DEL BAJO 16918;#N/D;FULLER;FULLER;FULLER;TRANSMISION;205,00;#N/D
514238NEWS;0;KIT DE RODAMIENTO DELANTERO PAREJO 46170 ;KIT DE RODAMIENTO DELANTERO PAREJO 46170 ;SPICER;DANA;DANA;DIFERENCIAL;22,00;$ 3.494.007,00
KISX408998100T;0;ACTUADORES DE TIEMPO KIT (NO VIENE ACTUADOR DE DOSIFICACION) CUMMINS ISX, EL KIT CONTIENE (2 ACTUADORES DE TIEMPO 4089981 + VALVULA SOLENOIDE 4024808 + LAMINA SOLENOIDE 129839 X1 UND + RESORTE KIT ACTUADORES 129768 X1 UND + DISCO VALVULA 196057 X1 UND + LAMINILLA DE ACTUADORES X2 UNDS + 6 TORNILLOS + 2 ORINGS) (USA 4X MOTOR 2 ACTUADORES TIEMPO + 2 ACTUADORES DOSIFICACIÓN);ACTUADORES DE TIEMPO KIT (NO VIENE ACTUADOR DE DOSIFICACION) CUMMINS ISX, EL KIT CONTIENE (2 ACTUADORES DE TIEMPO 4089981 + VALVULA SOLENOIDE 4024808 + LAMINA SOLENOIDE 129839 X1 UND + RESORTE KIT ACTUADORES 129768 X1 UND + DISCO VALVULA 196057 X1 UND + LAMINILLA DE ACTUADORES X2 UNDS + 6 TORNILLOS + 2 ORINGS) (USA 4X MOTOR 2 ACTUADORES TIEMPO + 2 ACTUADORES DOSIFICACIÓN);CUMMINS;CUMMINS;CUMMINS;MOTOR;17,00;$ 3.747.954,00
514014NEWS;514013;KIT DE RODAMIENTO TRASERO PAREJO 46170;KIT DE RODAMIENTO TRASERO PAREJO 46170;SPICER;DANA;DANA;DIFERENCIAL;26,00;$ 3.091.507,00
991450;0;FAN CLUTCH MOTOR FREIGTHLINER M2 106 SENCILLO Y DOBLETROQUE USA EMPAQUETADURA 994317;FAN CLUTCH MOTOR FREIGTHLINER M2 106 SENCILLO Y DOBLETROQUE USA EMPAQUETADURA 994317;HORTON;HORTON;HORTON;AIRE;23,00;$ 3.260.900,00
107237-10 MOX;0;KIT EMBRAGUE 14X1 3/4 DOBLE DISCO PRENSA 6 RESORTES DISCOS 8 RESORTES 3 TACOS ANGOSTOS (MECÁNICO);KIT EMBRAGUE 14X1 3/4 DOBLE DISCO PRENSA 6 RESORTES DISCOS 8 RESORTES 3 TACOS ANGOSTOS (MECÁNICO);EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;26,00;$ 2.633.700,00
104101-8 BR CHOROTE EN BROCE;#N/D;KIT EMBRAGUE 14 X 1 3/4 DISCO SEN ORGA 17-220/FORD 1721;#N/D;FULLER;FULLER;FULLER;TRANSMISION;27,00;#N/D
7059;#N/D;BOLSA SILLA NATIONAL;#N/D;FIRESTONE;CVG;CVG;SUSPENSION;426,00;#N/D
R201608;KB744CB;"JUEGO DE SPLINDER KW T800 9,01"" X 1,79"" BUJE PLASTICO, DOBLE CUÑERO CONTRARIO (PASADOR 3101T1086)";"JUEGO DE SPLINDER KW T800 9,01"" X 1,79"" BUJE PLASTICO, DOBLE CUÑERO CONTRARIO (PASADOR 3101T1086)";MERITOR;MERITOR;MERITOR;DIFERENCIAL;87,00;$ 858.700,00
107683-5 MOX;0;"KIT EMBRAGUE 14X1 3/4"" SENCILLO (1 DISCO) PRENSA 6 RESORTES DISCO 8 RESORTES 3 TACOS";"KIT EMBRAGUE 14X1 3/4"" SENCILLO (1 DISCO) PRENSA 6 RESORTES DISCO 8 RESORTES 3 TACOS";EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;42,00;$ 1.754.995,00
7206;1S5-176/7206GY 7206/500.681-01 W02AGA7206;BOLSA SUSPENSION CABINA FREIGTHLINER COLUMBIA BAJITA;BOLSA SUSPENSION CABINA FREIGTHLINER COLUMBIA BAJITA;FIRESTONE;FIRESTONE;FIRESTONE;SUSPENSION;469,00;$ 160.361,00
A6136/A8951;A6156 EN ALUMINIO;SINCRONIZADOR 2DA Y 3RA FS 6305 EN PAÑO;SINCRONIZADOR 2DA Y 3RA FS 6305 EN PAÑO;FULLER;FULLER;FULLER;TRANSMISION;147,00;$ 458.125,00
C81-1005/SP559541KP;9541;BOLSA SUSPENSION RACOR HEMBRA TANDEM KENWORTH;BOLSA SUSPENSION RACOR HEMBRA TANDEM KENWORTH;SAMPA;SAMPA;SAMPA;SUSPENSION;300,00;$ 250.000,00
1R12-484/9501/9471 2TORGY;9501;BOLSA DE SUSPENSION (9471 2TOR) PARA AD246 (PETROLERA);BOLSA DE SUSPENSION (9471 2TOR) PARA AD246 (PETROLERA);GOODYEAR;GOODYEAR;GOODYEAR;SUSPENSION;110,00;$ 611.700,00
7001P;7001P/500.900-01;BOLSA SUSPENSION CABINA KENWORTH T800 BASE EN PASTA;BOLSA SUSPENSION CABINA KENWORTH T800 BASE EN PASTA;FIRESTONE;FIRESTONE;FIRESTONE;SUSPENSION;396,00;$ 178.224,00
2234T1190;0;PLANETARIO EJE SALIDA 46160;PLANETARIO EJE SALIDA 46160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;174,00;$ 338.100,00
BRA11205A2731;A11205A2731 A11205A2731SELECT A11205A2731A/72990EXC;"RETENEDOR SPEED 46160 (brasil) DIAMETRO INTERNO 3-1/4""";"RETENEDOR SPEED 46160 (brasil) DIAMETRO INTERNO 3-1/4""";MERITOR;MERITOR;MERITOR;DIFERENCIAL;588,00;$ 106.458,00
PAID13/MV13-102-001;#N/D;OVERHAUL MACK MP8 / VOLVO D13 PISTÓN (811022 OEM 21105177) X6 UNDS + BULON X6 UNDS + PINES X12 UNDS CONTIENE (JUEGO DE ANILLOS 805050 OEM 20747511) + CAMISA (861612 OEM 21334768) X6 UNDS + (CAUCHOS DE CAMISA 1008075 1 COLOR MORADO Y 2 NEGROS) + CASQUETERIA DE BIELA STD (871100 OEM 20580558) X6 PAREJAS + CASQUETERIA DE BANCADA STD (CASQUETES 871040 OEM 20530916 CON MEDIALUNAS) X1 JGO + EMPAQUETADURA SUPERIOR (831060 OEM 21409435) + EMPAQUETADURA DEL CARTER (831051 OEM 21293367) + TERMOSTATO (801160 OEM 21412639) X1 UND;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;4,00;#N/D
PAI466-104-001;#N/D;OVERHAUL INTERNATIONAL DT466 DT530 250HP PISTON 1823930 CONTIENE KIT MOTOR 401014 OEM 1824820 (PISTON (410022 OEM 1823930) X6 UNDS + BULON X6 UNDS + PINES X12 UNDS + ANILLOS X6 JGOS + CAMISA (400004 OEM 1815674) X6 UNDS + CAUHOS CAMISA X6 + CASQUETERIA BIELA STD (470100 OEM 1822389) X6 PAREJAS + CASQUETERIA BANCADA STD (470120 OEM 2511360) X1 JGO + EMPAQUETADURA SUPERIOR (431251 OEM 1822328) X1 UND + EMPAQUE CARTER (431252 OEM 1826587) X1 UND CON EMPAQUE PEQUEÑO + FILTRO COMBUSTIBLE (450522 OEM 1822588) X1 UND + FILTRO ACEITE (450502 OEM 1833121) X1 UND;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;16,00;#N/D
BRA11205X2728;A11205X2728/85910EXC;"RETENEDOR DIVISOR 160-145-185 (brasil) DIAMETRO INTERNO 3-1/4""";"RETENEDOR DIVISOR 160-145-185 (brasil) DIAMETRO INTERNO 3-1/4""";MERITOR;MERITOR;MERITOR;DIFERENCIAL;641,00;$ 102.559,00
WAB4329012231;0;FILTRO SECADOR DE AIRE GRIS ESTÁNDAR SCANIA CON SECADOR ADIS AGUA Y PARTICULAS DE ACEITE (ROSCA M39 x 1,5);FILTRO SECADOR DE AIRE GRIS ESTÁNDAR SCANIA CON SECADOR ADIS AGUA Y PARTICULAS DE ACEITE (ROSCA M39 x 1,5);WABCO;WABCO;WABCO;AIRE;582,00;$ 104.829,00
2233K245;2233K245WAP 2233K245/ER73960PAI;SATELITE DIVISOR 46160;SATELITE DIVISOR 46160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;485,00;$ 144.600,00
89421/2563;#N/D;TENSOR CORREA VENTILADOR KW T800 T2000 T600 W900 INT 9100-9200-9400-9900 FTL CL120 ISX TODAS P/89102 CAMIONES VOLVO SERIE VN MOTOR CUMMINS ISX;#N/D;DAYCO;DAYCO;DAYCO;MOTOR;231,00;#N/D
4304599/6027FULLER;#N/D;RODILLO TREN FIJO/MS1309 GERX (MARCADA CHINA);#N/D;FULLER;FULLER;FULLER;TRANSMISION;704,00;#N/D
PAI466-101-011;#N/D;OVERHAUL INTERNATIONAL DT466 PISTON 1817520 TIPO HONGO CONTIENE KIT MOTOR 401005 OEM 1817645 (PISTON (410001 OEM 1817520) X6 UNDS + BULON X6 UNDS + PINES X12 UNDS + ANILLOS X6 JGOS + CAMISA (400005 OEM 1810504) X6 UNDS + CAUHOS CAMISA X6 + CASQUETERIA BIELA P20 (470072 OEM 1823857) X1 JGO + CASQUETERIA BANCADA P20 (470022 OEM 1823849) X1 JGO + EMPAQUETADURA SUPERIOR (431204 OEM 1817254) X1 UND + EMPAQUE CARTER (431201 OEM 671827) X1 UND CON EMPAQUES PEQUEÑOS X2;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;15,00;#N/D
FLX5515-250;0;"MANGUERA TRM 36"" 92CM DI 2""1/2 3 LONAS AZU FORD CARGO 815/ CUMMINS";"MANGUERA TRM 36"" 92CM DI 2""1/2 3 LONAS AZU FORD CARGO 815/ CUMMINS";FLEXFAB;FLEXFAB;FLEXFAB;AIRE;355,00;$ 188.159,00
A6918;"A6918/36980EXC S-E648 
";VALVULA CONTROL MONO BOTON GRIS PARA 18 CAMBIOS;VALVULA CONTROL MONO BOTON GRIS PARA 18 CAMBIOS;FULLER;FULLER;FULLER;TRANSMISION;210,00;$ 272.208,00
34013 088L;0;CORBATIN SUSPENSION PUNTA TANDEM HENDRIKSON (JGO X2) CON CHAPETAS (34013 188L);CORBATIN SUSPENSION PUNTA TANDEM HENDRIKSON (JGO X2) CON CHAPETAS (34013 188L);HENDRICKSON;HENDRICKSON;HENDRICKSON;SUSPENSION;109,00;$ 504.541,00
3002432;0;PIÑA BAJO 16918;PIÑA BAJO 16918;FULLER;FULLER;FULLER;TRANSMISION;195,00;$ 320.700,00
4303429/5905;4305905;PIÑON 1RA CORREDIZO 14915/16915;PIÑON 1RA CORREDIZO 14915/16915;FULLER;FULLER;FULLER;TRANSMISION;100,00;$ 592.400,00
A6608/A8956;#N/D;SINCRONIZADOR 5TA Y 6TA 8406A PAÑO;#N/D;FULLER;FULLER;FULLER;TRANSMISION;79,00;#N/D
K1926;3005576;(K-1925) KIT TREN FIJO + PIN + CUÑA + MEDIALUNA 14715;(K-1925) KIT TREN FIJO + PIN + CUÑA + MEDIALUNA 14715;FULLER;FULLER;FULLER;TRANSMISION;116,00;$ 943.500,00
459-5511 CLE;#N/D;OVERHAUL CUMMINS ISM/M11 SIN PISTON (REF DEL PISTON-4059898-4025158) + CON ANILLOS (REF DE LOS ANILLOS 3803977= S41934/3803977 CLE) + (CAMISA 226-4546CLE/3080760) + (JUEGO CASQUETE BANCADA MS2318-STDCLE/4025120) + (JUEGO CASQUETE BIELA B21371-STDMAH/3016760)+(EMPAQUETADURA SUPERIOR HS541462/4089478 CLE) + (EMPAQUETADURA DEL CARTER OS32219/3882733CLE);#N/D;CLEVITE;MAHLE;CLEVITE;MOTOR;19,00;#N/D
WAB9111539202;VAD25 03 10;CULATA COMPRESOR ISM ISC ISL PARA COMPRESORES 9111535200/9111530200 (NOTA: ANTES DE INSTALAR SE DEBE VERIFICAR TORQUE DE TORNILLERIA);CULATA COMPRESOR ISM ISC ISL PARA COMPRESORES 9111535200/9111530200 (NOTA: ANTES DE INSTALAR SE DEBE VERIFICAR TORQUE DE TORNILLERIA);WABCO;WABCO;WABCO;AIRE;77,00;$ 783.876,00
KISX437639200/6462544;459-5550 CLE/6462544;OVERHAUL ISX REPARACION MENOR SENCILLA CAUCHO AZUL SIN APR CONTIENE CAMISA CAUCHO AZUL SIN APR 5472978/4376392/5469002 (6 UNDS) + JGO ANILLOS X3 5633496/4309441/5405717 (6 UNDS) + JGO CASQUETES BANCADA COMPLETO 5406110 (1 JGO) + CASQUETES DE BIELA X6 PAREJAS 4089405 (1 JGO) + EMPAQUE CARTES 4026684 (1 UND) + EMPAQUETADURA SUPERIOR 4352144 (1 UND) (LOS CAUCHOS DE CAMISA ROSADO Y AZUL DESDE FABRICA AHORA VIENEN COLOR AZUL, DEBE REVISARSE PARA QUE CAMISA 150 MM O 152 MM, SE NECESITA LA REPARACION MENOR) (REPARACION MENOR CAMISA 150 MM REF KISX430938900S/6462543);OVERHAUL ISX REPARACION MENOR SENCILLA CAUCHO AZUL SIN APR CONTIENE CAMISA CAUCHO AZUL SIN APR 5472978/4376392/5469002 (6 UNDS) + JGO ANILLOS X3 5633496/4309441/5405717 (6 UNDS) + JGO CASQUETES BANCADA COMPLETO 5406110 (1 JGO) + CASQUETES DE BIELA X6 PAREJAS 4089405 (1 JGO) + EMPAQUE CARTES 4026684 (1 UND) + EMPAQUETADURA SUPERIOR 4352144 (1 UND) (LOS CAUCHOS DE CAMISA ROSADO Y AZUL DESDE FABRICA AHORA VIENEN COLOR AZUL, DEBE REVISARSE PARA QUE CAMISA 150 MM O 152 MM, SE NECESITA LA REPARACION MENOR) (REPARACION MENOR CAMISA 150 MM REF KISX430938900S/6462543);CUMMINS;CUMMINS;CUMMINS;MOTOR;6,00;$ 8.490.997,00
PAI466-105-006;#N/D;OVERHAUL INTERNATIONAL DT466 PISTON CUATRO RANURAS 688835 TIPO HONGO CONTIENE KIT MOTOR 401007 (PISTON (410005 OEM 688835) X6 UNDS + BULON X6 UNDS + PINES X12 UNDS + ANILLOS X6 JGOS + CAMISA (400005 OEM 1810504) X6 UNDS + CAUHOS CAMISA X6 + CASQUETERIA BIELA P10 (470071 OEM 1823856) X1 JGO + CASQUETERIA BANCADA P10 (47021 OEM 1823848) X1 JGO + EMPAQUETADURA SUPERIOR (431204 OEM 1817254) X1 UND + EMPAQUE CARTER (431201 OEM 671827) X1 UND CON EMPAQUE PEQUEÑO SIN FILTROS;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;14,00;#N/D
A53235E2111;0;CANASTA PORTA CORONA ESCUALIZACION 9X41 JGOX3 DIS DELANTERA;CANASTA PORTA CORONA ESCUALIZACION 9X41 JGOX3 DIS DELANTERA;MERITOR;MERITOR;MERITOR;DIFERENCIAL;30,00;$ 1.989.200,00
9781/1T15MMR8;#N/D;BOLSA SUSPENSION CABEZOTE FREIGTHLINER BASE ALUMINIO;#N/D;FIRESTONE;FIRESTONE;FIRESTONE;SUSPENSION;121,00;#N/D
2032055C1/AX12-3250;#N/D;TUERCA HAUSING EAGLE;#N/D;INTERNATIONAL;MT-OTROS;MT-OTROS;VARIOS;558,00;#N/D
4923471;3328786;GUIAS DE VALVULA CUMMINS ISM;GUIAS DE VALVULA CUMMINS ISM;CUMMINS;CUMMINS;CUMMINS;MOTOR;2678,00;$ 18.687,00
4302427B;#N/D;PIÑON MONO FRO 11210C;#N/D;FULLER;FULLER;FULLER;TRANSMISION;73,00;#N/D
4494973M;0;TUERCA HAUSING TIPO 9 1/2 JUEGO PARA UNA LLANTA;TUERCA HAUSING TIPO 9 1/2 JUEGO PARA UNA LLANTA;MERITOR;MERITOR;MERITOR;DIFERENCIAL;569,00;$ 101.455,00
K2924/K3132;#N/D;KIT RODAMIENTO FR/FRO 11210;#N/D;FULLER;FULLER;FULLER;TRANSMISION;33,00;#N/D
8883044;0;HINO ANILLO BRONCE SINCRONIZADOR 1RA 2DA 3RA 4TA ES11109 (TRABAJA EN CONJUNTO CON CONO SINCRONIZADOR 8883043);HINO ANILLO BRONCE SINCRONIZADOR 1RA 2DA 3RA 4TA ES11109 (TRABAJA EN CONJUNTO CON CONO SINCRONIZADOR 8883043);FULLER;FULLER;FULLER;TRANSMISION;154,00;$ 414.551,00
57977-000/KD2205;KD-2205;VALVULA SUSPENSION CABEZOTE EAGLE Y FREIGTHLINER NEUMATICA;VALVULA SUSPENSION CABEZOTE EAGLE Y FREIGTHLINER NEUMATICA;BARSKDALE;USA;USA;VARIOS;200,00;$ 305.469,00
KIT4423TMK;0;KIT RODAMIENTO DELANTERO 160- CON RETENEDOR A11205X2728 (USA);KIT RODAMIENTO DELANTERO 160- CON RETENEDOR A11205X2728 (USA);TIMKEN;TIMKEN;TIMKEN;RODAMIENTO;26,00;$ 2.017.963,00
SET401TMK;0;SET RODILLO Y PISTA (580/572) EXTERNO PARA RUEDA TRASERA DE KENWORTH, FREIGHTLINER, INTERNATIONAL, BRIGADIER Y SUPERBRIGADIER COMPAÑERO (SET403);SET RODILLO Y PISTA (580/572) EXTERNO PARA RUEDA TRASERA DE KENWORTH, FREIGHTLINER, INTERNATIONAL, BRIGADIER Y SUPERBRIGADIER COMPAÑERO (SET403);TIMKEN;TIMKEN;TIMKEN;RODAMIENTO;282,00;$ 182.073,00
S-23227;FL2275835000;COMPRESOR DE AIRE ACONDICIONADO PARA FREIGHTLINER CASCADIA 8 CANALES, POLEA DE 145 mm;COMPRESOR DE AIRE ACONDICIONADO PARA FREIGHTLINER CASCADIA 8 CANALES, POLEA DE 145 mm;NEWSTAR;NEWSTAR;NEWSTAR;AIRE;29,00;$ 1.961.756,00
SET304TMK;0;SET RODILLO Y PISTA(72212C/72487) INTERNO DEL SPEED SERIE 14, SPEED INTERNO Y EXTERNO DE MODELO 46MLB DELANTERO, EN 46,000MLB TRASERO ES EXTERNO DEL SPEED, EL COMPAÑERO DE INTERNO(SET359), Y TAMBIEN ES INTERNO DE SPEED PARA RS404;SET RODILLO Y PISTA(72212C/72487) INTERNO DEL SPEED SERIE 14, SPEED INTERNO Y EXTERNO DE MODELO 46MLB DELANTERO, EN 46,000MLB TRASERO ES EXTERNO DEL SPEED, EL COMPAÑERO DE INTERNO(SET359), Y TAMBIEN ES INTERNO DE SPEED PARA RS404;TIMKEN;TIMKEN;TIMKEN;DIFERENCIAL;268,00;$ 205.809,00
R2SB1/10009880260;"61091017287
VW 7W145703S";TURBO ALIMENTADOR COMPRESOR BITURBO CAMIONES VOLSWAGEN CONSTELLATION 17-280 CON MOTOR MAN D0836 (DEPENDIENDO DEL MODELO PUEDE VARIAR A 10009880222 QUE TIENE CARACOLES MAS PEQUEÑOS O 10009880311) TIENE ENTRADA DE ADMISIÓN MAS LARGA Y CON CHAFLAN POR LADO DE LA VALVULA DE ALIVIO;TURBO ALIMENTADOR COMPRESOR BITURBO CAMIONES VOLSWAGEN CONSTELLATION 17-280 CON MOTOR MAN D0836 (DEPENDIENDO DEL MODELO PUEDE VARIAR A 10009880222 QUE TIENE CARACOLES MAS PEQUEÑOS O 10009880311) TIENE ENTRADA DE ADMISIÓN MAS LARGA Y CON CHAFLAN POR LADO DE LA VALVULA DE ALIVIO;BORGWARNER;BORGWARNER;BORGWARNER;AIRE;12,00;$ 4.804.107,00
